kind,id,etag,selfLink,Title,Authors,volumeInfo.publisher,volumeInfo.publishedDate,volumeInfo.description,volumeInfo.industryIdentifiers,volumeInfo.readingModes.text,volumeInfo.readingModes.image,volumeInfo.pageCount,volumeInfo.printType,volumeInfo.categories,volumeInfo.averageRating,volumeInfo.ratingsCount,volumeInfo.maturityRating,volumeInfo.allowAnonLogging,volumeInfo.contentVersion,volumeInfo.imageLinks.smallThumbnail,volumeInfo.imageLinks.thumbnail,volumeInfo.language,volumeInfo.previewLink,volumeInfo.infoLink,volumeInfo.canonicalVolumeLink,saleInfo.country,saleInfo.saleability,saleInfo.isEbook,accessInfo.country,accessInfo.viewability,accessInfo.embeddable,accessInfo.publicDomain,accessInfo.textToSpeechPermission,accessInfo.epub.isAvailable,accessInfo.pdf.isAvailable,accessInfo.webReaderLink,accessInfo.accessViewStatus,accessInfo.quoteSharingAllowed,searchInfo.textSnippet,volumeInfo.panelizationSummary.containsEpubBubbles,volumeInfo.panelizationSummary.containsImageBubbles,volumeInfo.subtitle,saleInfo.listPrice.amount,saleInfo.listPrice.currencyCode,saleInfo.retailPrice.amount,saleInfo.retailPrice.currencyCode,saleInfo.buyLink,saleInfo.offers,accessInfo.epub.acsTokenLink,accessInfo.pdf.acsTokenLink,Topic
books#volume,Ofp4h_oXsZ4C,XsiG51mr7Jg,https://www.googleapis.com/books/v1/volumes/Ofp4h_oXsZ4C,Machine Learning,['Peter Flach'],Cambridge University Press,2012-09-20,"Covering all the main approaches in state-of-the-art machine learning research, this will set a new standard as an introductory textbook.","[{'type': 'ISBN_13', 'identifier': '9781107096394'}, {'type': 'ISBN_10', 'identifier': '1107096391'}]",False,True,396.0,BOOK,['Computers'],4.0,1.0,NOT_MATURE,False,preview-1.0.0,http://books.google.com/books/content?id=Ofp4h_oXsZ4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Ofp4h_oXsZ4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=Ofp4h_oXsZ4C&pg=PP1&dq=Machine+Learning&hl=&cd=3&source=gbs_api,http://books.google.com/books?id=Ofp4h_oXsZ4C&dq=Machine+Learning&hl=&source=gbs_api,https://books.google.com/books/about/Machine_Learning.html?hl=&id=Ofp4h_oXsZ4C,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=Ofp4h_oXsZ4C&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Covering all the main approaches in state-of-the-art machine learning research, this will set a new standard as an introductory textbook.",,,The Art and Science of Algorithms that Make Sense of Data,,,,,,,,,Machine Learning
books#volume,NP5bBAAAQBAJ,q4e2Kx9Caeg,https://www.googleapis.com/books/v1/volumes/NP5bBAAAQBAJ,Introduction to Machine Learning,['Ethem Alpaydin'],MIT Press,2014-08-29,"The goal of machine learning is to program computers to use example data or past experience to solve a given problem. Many successful applications of machine learning exist already, including systems that analyze past sales data to predict customer behavior, optimize robot behavior so that a task can be completed using minimum resources, and extract knowledge from bioinformatics data. Introduction to Machine Learning is a comprehensive textbook on the subject, covering a broad array of topics not usually included in introductory machine learning texts. Subjects include supervised learning; Bayesian decision theory; parametric, semi-parametric, and nonparametric methods; multivariate analysis; hidden Markov models; reinforcement learning; kernel machines; graphical models; Bayesian estimation; and statistical testing.Machine learning is rapidly becoming a skill that computer science students must master before graduation. The third edition of Introduction to Machine Learning reflects this shift, with added support for beginners, including selected solutions for exercises and additional example data sets (with code available online). Other substantial changes include discussions of outlier detection; ranking algorithms for perceptrons and support vector machines; matrix decomposition and spectral methods; distance estimation; new kernel algorithms; deep learning in multilayered perceptrons; and the nonparametric approach to Bayesian methods. All learning algorithms are explained so that students can easily move from the equations in the book to a computer program. The book can be used by both advanced undergraduates and graduate students. It will also be of interest to professionals who are concerned with the application of machine learning methods.","[{'type': 'ISBN_13', 'identifier': '9780262028189'}, {'type': 'ISBN_10', 'identifier': '0262028182'}]",False,True,640.0,BOOK,['Computers'],3.0,2.0,NOT_MATURE,False,preview-1.0.0,http://books.google.com/books/content?id=NP5bBAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=NP5bBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=NP5bBAAAQBAJ&pg=PP1&dq=Machine+Learning&hl=&cd=4&source=gbs_api,http://books.google.com/books?id=NP5bBAAAQBAJ&dq=Machine+Learning&hl=&source=gbs_api,https://books.google.com/books/about/Introduction_to_Machine_Learning.html?hl=&id=NP5bBAAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=NP5bBAAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,Introduction -- Supervised learning -- Bayesian decision theory -- Parametric methods -- Multivariate methods -- Dimensionality reduction -- Clustering -- Nonparametric methods -- Decision trees -- Linear discrimination -- Multilayer ...,,,,,,,,,,,,Machine Learning
books#volume,jBm3DwAAQBAJ,TbJwSwYBxP8,https://www.googleapis.com/books/v1/volumes/jBm3DwAAQBAJ,Interpretable Machine Learning,['Christoph Molnar'],Lulu.com,2019,,"[{'type': 'ISBN_13', 'identifier': '9780244768522'}, {'type': 'ISBN_10', 'identifier': '0244768528'}]",False,True,314.0,BOOK,,4.5,2.0,NOT_MATURE,False,0.1.0.0.preview.1,http://books.google.com/books/content?id=jBm3DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=jBm3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=jBm3DwAAQBAJ&pg=PP1&dq=Machine+Learning&hl=&cd=5&source=gbs_api,http://books.google.com/books?id=jBm3DwAAQBAJ&dq=Machine+Learning&hl=&source=gbs_api,https://books.google.com/books/about/Interpretable_Machine_Learning.html?hl=&id=jBm3DwAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=jBm3DwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,This book is about making machine learning models and their decisions interpretable.,False,False,,,,,,,,,,Machine Learning
books#volume,VJdQLwEACAAJ,DMjZmzbc1es,https://www.googleapis.com/books/v1/volumes/VJdQLwEACAAJ,Machine Learning,['Peter Flach'],Cambridge University Press,2012-09-20,"As one of the most comprehensive machine learning texts around, this book does justice to the field's incredible richness, but without losing sight of the unifying principles. Peter Flach's clear, example-based approach begins by discussing how a spam filter works, which gives an immediate introduction to machine learning in action, with a minimum of technical fuss. Flach provides case studies of increasing complexity and variety with well-chosen examples and illustrations throughout. He covers a wide range of logical, geometric and statistical models and state-of-the-art topics such as matrix factorisation and ROC analysis. Particular attention is paid to the central role played by features. The use of established terminology is balanced with the introduction of new and useful concepts, and summaries of relevant background material are provided with pointers for revision if necessary. These features ensure Machine Learning will set a new standard as an introductory textbook.","[{'type': 'ISBN_10', 'identifier': '1107422221'}, {'type': 'ISBN_13', 'identifier': '9781107422223'}]",False,False,409.0,BOOK,['Computers'],,,NOT_MATURE,False,preview-1.0.0,http://books.google.com/books/content?id=VJdQLwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=VJdQLwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com/books?id=VJdQLwEACAAJ&dq=Machine+Learning&hl=&cd=6&source=gbs_api,http://books.google.com/books?id=VJdQLwEACAAJ&dq=Machine+Learning&hl=&source=gbs_api,https://books.google.com/books/about/Machine_Learning.html?hl=&id=VJdQLwEACAAJ,US,NOT_FOR_SALE,False,US,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=VJdQLwEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"As one of the most comprehensive machine learning texts around, this book does justice to the field&#39;s incredible richness, but without losing sight of the unifying principles.",,,The Art and Science of Algorithms that Make Sense of Data,,,,,,,,,Machine Learning
books#volume,XTozEAAAQBAJ,SyIMF61nBH0,https://www.googleapis.com/books/v1/volumes/XTozEAAAQBAJ,Machine Learning in Action,['Peter Harrington'],Simon and Schuster,2012-04-03,"Summary Machine Learning in Action is unique book that blends the foundational theories of machine learning with the practical realities of building tools for everyday data analysis. You'll use the flexible Python programming language to build programs that implement algorithms for data classification, forecasting, recommendations, and higher-level features like summarization and simplification. About the Book A machine is said to learn when its performance improves with experience. Learning requires algorithms and programs that capture data and ferret out the interestingor useful patterns. Once the specialized domain of analysts and mathematicians, machine learning is becoming a skill needed by many. Machine Learning in Action is a clearly written tutorial for developers. It avoids academic language and takes you straight to the techniques you'll use in your day-to-day work. Many (Python) examples present the core algorithms of statistical data processing, data analysis, and data visualization in code you can reuse. You'll understand the concepts and how they fit in with tactical tasks like classification, forecasting, recommendations, and higher-level features like summarization and simplification. Readers need no prior experience with machine learning or statistical processing. Familiarity with Python is helpful. Purchase of the print book comes with an offer of a free PDF, ePub, and Kindle eBook from Manning. Also available is all code from the book. What's Inside A no-nonsense introduction Examples showing common ML tasks Everyday data analysis Implementing classic algorithms like Apriori and Adaboos Table of Contents PART 1 CLASSIFICATION Machine learning basics Classifying with k-Nearest Neighbors Splitting datasets one feature at a time: decision trees Classifying with probability theory: naïve Bayes Logistic regression Support vector machines Improving classification with the AdaBoost meta algorithm PART 2 FORECASTING NUMERIC VALUES WITH REGRESSION Predicting numeric values: regression Tree-based regression PART 3 UNSUPERVISED LEARNING Grouping unlabeled items using k-means clustering Association analysis with the Apriori algorithm Efficiently finding frequent itemsets with FP-growth PART 4 ADDITIONAL TOOLS Using principal component analysis to simplify data Simplifying data with the singular value decomposition Big data and MapReduce","[{'type': 'ISBN_13', 'identifier': '9781638352457'}, {'type': 'ISBN_10', 'identifier': '1638352453'}]",True,False,384.0,BOOK,['Computers'],,,NOT_MATURE,False,1.2.2.0.preview.2,http://books.google.com/books/content?id=XTozEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=XTozEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=XTozEAAAQBAJ&pg=PP1&dq=Machine+Learning&hl=&cd=7&source=gbs_api,https://play.google.com/store/books/details?id=XTozEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=XTozEAAAQBAJ,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,True,False,http://play.google.com/books/reader?id=XTozEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Familiarity with Python is helpful. Purchase of the print book comes with an offer of a free PDF, ePub, and Kindle eBook from Manning. Also available is all code from the book.",False,False,,34.99,USD,34.99,USD,https://play.google.com/store/books/details?id=XTozEAAAQBAJ&rdid=book-XTozEAAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 34990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 34990000, 'currencyCode': 'USD'}, 'giftable': True}]",http://books.google.com/books/download/Machine_Learning_in_Action-sample-epub.acsm?id=XTozEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,Machine Learning
books#volume,ttJkAwAAQBAJ,M1S5A7fUiiQ,https://www.googleapis.com/books/v1/volumes/ttJkAwAAQBAJ,Understanding Machine Learning,"['Shai Shalev-Shwartz', 'Shai Ben-David']",Cambridge University Press,2014-05-19,"Introduces machine learning and its algorithmic paradigms, explaining the principles behind automated learning approaches and the considerations underlying their usage.","[{'type': 'ISBN_13', 'identifier': '9781107057135'}, {'type': 'ISBN_10', 'identifier': '1107057132'}]",False,True,409.0,BOOK,['Computers'],5.0,2.0,NOT_MATURE,False,preview-1.0.0,http://books.google.com/books/content?id=ttJkAwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=ttJkAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=ttJkAwAAQBAJ&printsec=frontcover&dq=Machine+Learning&hl=&cd=8&source=gbs_api,http://books.google.com/books?id=ttJkAwAAQBAJ&dq=Machine+Learning&hl=&source=gbs_api,https://books.google.com/books/about/Understanding_Machine_Learning.html?hl=&id=ttJkAwAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=ttJkAwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Introduces machine learning and its algorithmic paradigms, explaining the principles behind automated learning approaches and the considerations underlying their usage.",,,From Theory to Algorithms,,,,,,,,,Machine Learning
books#volume,NZP6AQAAQBAJ,sCS2Crr5HtI,https://www.googleapis.com/books/v1/volumes/NZP6AQAAQBAJ,Machine Learning,['Kevin P. Murphy'],MIT Press,2012-08-24,"A comprehensive introduction to machine learning that uses probabilistic models and inference as a unifying approach. Today's Web-enabled deluge of electronic data calls for automated methods of data analysis. Machine learning provides these, developing methods that can automatically detect patterns in data and then use the uncovered patterns to predict future data. This textbook offers a comprehensive and self-contained introduction to the field of machine learning, based on a unified, probabilistic approach. The coverage combines breadth and depth, offering necessary background material on such topics as probability, optimization, and linear algebra as well as discussion of recent developments in the field, including conditional random fields, L1 regularization, and deep learning. The book is written in an informal, accessible style, complete with pseudo-code for the most important algorithms. All topics are copiously illustrated with color images and worked examples drawn from such application domains as biology, text processing, computer vision, and robotics. Rather than providing a cookbook of different heuristic methods, the book stresses a principled model-based approach, often using the language of graphical models to specify models in a concise and intuitive way. Almost all the models described have been implemented in a MATLAB software package—PMTK (probabilistic modeling toolkit)—that is freely available online. The book is suitable for upper-level undergraduates with an introductory-level college math background and beginning graduate students.","[{'type': 'ISBN_13', 'identifier': '9780262018029'}, {'type': 'ISBN_10', 'identifier': '0262018020'}]",False,True,1104.0,BOOK,['Computers'],,,NOT_MATURE,False,1.2.0.0.preview.1,http://books.google.com/books/content?id=NZP6AQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=NZP6AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=NZP6AQAAQBAJ&printsec=frontcover&dq=Machine+Learning&hl=&cd=9&source=gbs_api,http://books.google.com/books?id=NZP6AQAAQBAJ&dq=Machine+Learning&hl=&source=gbs_api,https://books.google.com/books/about/Machine_Learning.html?hl=&id=NZP6AQAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=NZP6AQAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,The book is suitable for upper-level undergraduates with an introductory-level college math background and beginning graduate students.,False,False,A Probabilistic Perspective,,,,,,,,,Machine Learning
books#volume,ctM-EAAAQBAJ,PT4mV5E5tgM,https://www.googleapis.com/books/v1/volumes/ctM-EAAAQBAJ,Machine Learning,['Zhi-Hua Zhou'],Springer Nature,2021-08-20,"Machine Learning, a vital and core area of artificial intelligence (AI), is propelling the AI field ever further and making it one of the most compelling areas of computer science research. This textbook offers a comprehensive and unbiased introduction to almost all aspects of machine learning, from the fundamentals to advanced topics. It consists of 16 chapters divided into three parts: Part 1 (Chapters 1-3) introduces the fundamentals of machine learning, including terminology, basic principles, evaluation, and linear models; Part 2 (Chapters 4-10) presents classic and commonly used machine learning methods, such as decision trees, neural networks, support vector machines, Bayesian classifiers, ensemble methods, clustering, dimension reduction and metric learning; Part 3 (Chapters 11-16) introduces some advanced topics, covering feature selection and sparse learning, computational learning theory, semi-supervised learning, probabilistic graphical models, rule learning, and reinforcement learning. Each chapter includes exercises and further reading, so that readers can explore areas of interest. The book can be used as an undergraduate or postgraduate textbook for computer science, computer engineering, electrical engineering, data science, and related majors. It is also a useful reference resource for researchers and practitioners of machine learning.","[{'type': 'ISBN_13', 'identifier': '9789811519673'}, {'type': 'ISBN_10', 'identifier': '9811519676'}]",True,True,459.0,BOOK,['Computers'],,,NOT_MATURE,False,preview-1.0.0,http://books.google.com/books/content?id=ctM-EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=ctM-EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=ctM-EAAAQBAJ&pg=PR2&dq=Machine+Learning&hl=&cd=10&source=gbs_api,https://play.google.com/store/books/details?id=ctM-EAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=ctM-EAAAQBAJ,US,FOR_SALE_AND_RENTAL,True,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=ctM-EAAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"The book can be used as an undergraduate or postgraduate textbook for computer science, computer engineering, electrical engineering, data science, and related majors.",False,False,,74.99,USD,59.99,USD,https://play.google.com/store/books/details?id=ctM-EAAAQBAJ&rdid=book-ctM-EAAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 74990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 59990000, 'currencyCode': 'USD'}, 'giftable': True}, {'finskyOfferType': 3, 'listPrice': {'amountInMicros': 26250000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 22840000, 'currencyCode': 'USD'}, 'rentalDuration': {'unit': 'DAY', 'count': 90}}]",http://books.google.com/books/download/Machine_Learning-sample-epub.acsm?id=ctM-EAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,http://books.google.com/books/download/Machine_Learning-sample-pdf.acsm?id=ctM-EAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,Machine Learning
books#volume,omivDQAAQBAJ,GuL81AKXqqM,https://www.googleapis.com/books/v1/volumes/omivDQAAQBAJ,Deep Learning,"['Ian Goodfellow', 'Yoshua Bengio', 'Aaron Courville']",MIT Press,2016-11-10,"An introduction to a broad range of topics in deep learning, covering mathematical and conceptual background, deep learning techniques used in industry, and research perspectives. “Written by three experts in the field, Deep Learning is the only comprehensive book on the subject.” —Elon Musk, cochair of OpenAI; cofounder and CEO of Tesla and SpaceX Deep learning is a form of machine learning that enables computers to learn from experience and understand the world in terms of a hierarchy of concepts. Because the computer gathers knowledge from experience, there is no need for a human computer operator to formally specify all the knowledge that the computer needs. The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning. The text offers mathematical and conceptual background, covering relevant concepts in linear algebra, probability theory and information theory, numerical computation, and machine learning. It describes deep learning techniques used by practitioners in industry, including deep feedforward networks, regularization, optimization algorithms, convolutional networks, sequence modeling, and practical methodology; and it surveys such applications as natural language processing, speech recognition, computer vision, online recommendation systems, bioinformatics, and videogames. Finally, the book offers research perspectives, covering such theoretical topics as linear factor models, autoencoders, representation learning, structured probabilistic models, Monte Carlo methods, the partition function, approximate inference, and deep generative models. Deep Learning can be used by undergraduate or graduate students planning careers in either industry or research, and by software engineers who want to begin using deep learning in their products or platforms. A website offers supplementary material for both readers and instructors.","[{'type': 'ISBN_13', 'identifier': '9780262337373'}, {'type': 'ISBN_10', 'identifier': '0262337371'}]",True,True,800.0,BOOK,['Computers'],5.0,1.0,NOT_MATURE,True,1.7.2.0.preview.3,http://books.google.com/books/content?id=omivDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=omivDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=omivDQAAQBAJ&pg=PP1&dq=Deep+Learning&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=omivDQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=omivDQAAQBAJ,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=omivDQAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning.,False,False,,49.99,USD,49.99,USD,https://play.google.com/store/books/details?id=omivDQAAQBAJ&rdid=book-omivDQAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 49990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 49990000, 'currencyCode': 'USD'}, 'giftable': True}]",http://books.google.com/books/download/Deep_Learning-sample-epub.acsm?id=omivDQAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,http://books.google.com/books/download/Deep_Learning-sample-pdf.acsm?id=omivDQAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,Deep Learning
books#volume,Np9SDQAAQBAJ,soc6xRjGbXM,https://www.googleapis.com/books/v1/volumes/Np9SDQAAQBAJ,Deep Learning,"['Ian Goodfellow', 'Yoshua Bengio', 'Aaron Courville']",MIT Press,2016-11-18,"An introduction to a broad range of topics in deep learning, covering mathematical and conceptual background, deep learning techniques used in industry, and research perspectives. “Written by three experts in the field, Deep Learning is the only comprehensive book on the subject.” —Elon Musk, cochair of OpenAI; cofounder and CEO of Tesla and SpaceX Deep learning is a form of machine learning that enables computers to learn from experience and understand the world in terms of a hierarchy of concepts. Because the computer gathers knowledge from experience, there is no need for a human computer operator to formally specify all the knowledge that the computer needs. The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning. The text offers mathematical and conceptual background, covering relevant concepts in linear algebra, probability theory and information theory, numerical computation, and machine learning. It describes deep learning techniques used by practitioners in industry, including deep feedforward networks, regularization, optimization algorithms, convolutional networks, sequence modeling, and practical methodology; and it surveys such applications as natural language processing, speech recognition, computer vision, online recommendation systems, bioinformatics, and videogames. Finally, the book offers research perspectives, covering such theoretical topics as linear factor models, autoencoders, representation learning, structured probabilistic models, Monte Carlo methods, the partition function, approximate inference, and deep generative models. Deep Learning can be used by undergraduate or graduate students planning careers in either industry or research, and by software engineers who want to begin using deep learning in their products or platforms. A website offers supplementary material for both readers and instructors.","[{'type': 'ISBN_13', 'identifier': '9780262035613'}, {'type': 'ISBN_10', 'identifier': '0262035618'}]",False,True,800.0,BOOK,['Computers'],3.5,5.0,NOT_MATURE,False,1.6.1.0.preview.1,http://books.google.com/books/content?id=Np9SDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Np9SDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=Np9SDQAAQBAJ&pg=PP1&dq=Deep+Learning&hl=&cd=2&source=gbs_api,http://books.google.com/books?id=Np9SDQAAQBAJ&dq=Deep+Learning&hl=&source=gbs_api,https://books.google.com/books/about/Deep_Learning.html?hl=&id=Np9SDQAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=Np9SDQAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning.,False,False,,,,,,,,,,Deep Learning
books#volume,1g0KywEACAAJ,c8LEnRfT6UY,https://www.googleapis.com/books/v1/volumes/1g0KywEACAAJ,Deep Learning,['Ian Goodfellow'],,2013,,"[{'type': 'OTHER', 'identifier': 'OCLC:1120369889'}]",False,False,,BOOK,,,,NOT_MATURE,False,preview-1.0.0,,,en,http://books.google.com/books?id=1g0KywEACAAJ&dq=Deep+Learning&hl=&cd=3&source=gbs_api,http://books.google.com/books?id=1g0KywEACAAJ&dq=Deep+Learning&hl=&source=gbs_api,https://books.google.com/books/about/Deep_Learning.html?hl=&id=1g0KywEACAAJ,US,NOT_FOR_SALE,False,US,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=1g0KywEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,,False,False,,,,,,,,,,Deep Learning
books#volume,b06qDwAAQBAJ,O9Asqke2EtI,https://www.googleapis.com/books/v1/volumes/b06qDwAAQBAJ,Deep Learning,['John D. Kelleher'],MIT Press,2019-09-10,"An accessible introduction to the artificial intelligence technology that enables computer vision, speech recognition, machine translation, and driverless cars. Deep learning is an artificial intelligence technology that enables computer vision, speech recognition in mobile phones, machine translation, AI games, driverless cars, and other applications. When we use consumer products from Google, Microsoft, Facebook, Apple, or Baidu, we are often interacting with a deep learning system. In this volume in the MIT Press Essential Knowledge series, computer scientist John Kelleher offers an accessible and concise but comprehensive introduction to the fundamental technology at the heart of the artificial intelligence revolution. Kelleher explains that deep learning enables data-driven decisions by identifying and extracting patterns from large datasets; its ability to learn from complex data makes deep learning ideally suited to take advantage of the rapid growth in big data and computational power. Kelleher also explains some of the basic concepts in deep learning, presents a history of advances in the field, and discusses the current state of the art. He describes the most important deep learning architectures, including autoencoders, recurrent neural networks, and long short-term networks, as well as such recent developments as Generative Adversarial Networks and capsule networks. He also provides a comprehensive (and comprehensible) introduction to the two fundamental algorithms in deep learning: gradient descent and backpropagation. Finally, Kelleher considers the future of deep learning—major trends, possible developments, and significant challenges.","[{'type': 'ISBN_13', 'identifier': '9780262537551'}, {'type': 'ISBN_10', 'identifier': '0262537559'}]",False,True,296.0,BOOK,['Computers'],,,NOT_MATURE,False,1.3.0.0.preview.1,http://books.google.com/books/content?id=b06qDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=b06qDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=b06qDwAAQBAJ&printsec=frontcover&dq=Deep+Learning&hl=&cd=4&source=gbs_api,http://books.google.com/books?id=b06qDwAAQBAJ&dq=Deep+Learning&hl=&source=gbs_api,https://books.google.com/books/about/Deep_Learning.html?hl=&id=b06qDwAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=b06qDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"In this volume in the MIT Press Essential Knowledge series, computer scientist John Kelleher offers an accessible and concise but comprehensive introduction to the fundamental technology at the heart of the artificial intelligence ...",False,False,,,,,,,,,,Deep Learning
